,SMILES,MOL WEIGHT,VDW VOL,MOLAR VOL,DENSITY,SOLUBILITY,COH ENERGY,GLASS TEMP,HEAT CAP,IND REFRACTION
160,ClC(=C)Cl,96.94,37.07,56.8,1.71,20.0,22.8,,112.0,1.61
161,OC(=N)C=C,71.08,38.6,59.4,1.2,25.9,39.8,436.0,96.0,1.49
162,CCCOC(=O)C=C,114.14,66.48,102.2,1.12,18.7,35.7,234.0,170.0,1.48
163,CCCC(=O)OC=C,114.14,66.48,102.2,1.12,18.7,35.7,271.0,216.0,1.47
164,CCOC(=O)C(=C)C,114.14,66.48,101.5,1.12,18.4,34.2,341.0,167.0,1.49
165,CC(C)OC(=O)C=C,114.14,66.5,104.0,1.1,18.2,34.1,264.0,213.0,1.47
166,CCCCCCCCCCCCCCCCCC(=O)OC=C,310.51,210.4,328.0,0.95,17.4,99.4,279.0,539.0,1.48
167,Oc1c(cccc1c1ccccc1)c1ccccc1,244.29,138.7,212.0,1.15,20.6,89.6,495.0,261.0,1.63
168,FC(=C(F)F)Cl,116.47,34.48,56.0,2.08,16.1,14.5,365.0,103.2,1.44
169,BrC=CC=C,132.99,51.54,74.7,1.78,19.5,28.3,243.0,134.0,1.6
170,C=COC(=O)CC,100.12,56.2,86.1,1.16,19.1,31.3,288.0,144.0,1.48
171,CC(=C)C#N,67.09,42.78,61.8,1.09,23.3,33.7,383.0,91.0,1.53
172,COC(=O)C(=C)C,100.12,56.2,85.4,1.17,18.7,29.7,375.0,141.0,1.49
173,C=CC(=O)Oc1ccc(cc1)Cl,147.15,89.16,134.2,1.1,21.0,59.0,334.0,193.0,1.58
174,OC(=O)CCCCC(=O)O.OCCCO,186.21,102.0,154.0,1.21,20.0,61.7,217.0,344.0,1.49
175,CCCCCCCC=C,126.24,92.5,146.0,0.86,16.5,39.6,220.0,270.0,1.47
176,CCCCCCC=C,112.2,82.2,130.0,0.86,16.4,35.0,218.0,240.0,1.47
177,CCCCCCCCC=C,140.27,102.8,162.0,0.86,16.5,44.1,226.0,300.0,1.47
178,CCCCCC=C,98.19,72.0,114.0,0.86,16.4,30.4,227.0,209.0,1.47
179,OC(=O)CCCCC(=O)O.NCCCCN,198.27,117.1,179.0,1.11,26.5,126.0,344.0,293.0,1.52
180,NCCCCCCN.ClC(=O)c1cc(ccc1)C(=O)Cl,246.3,142.1,215.0,1.15,26.0,145.0,390.0,324.0,1.57
181,NCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,246.3,142.1,215.0,1.15,26.0,145.0,415.0,324.0,1.57
182,Nc1cc(ccc1)N.ClC(=O)c1cc(ccc1)C(=O)Cl,238.2,126.0,186.5,1.31,28.6,153.0,510.0,257.0,1.65
183,NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,288.39,173.0,264.0,1.1,24.3,155.0,386.0,398.0,1.55
184,OC(=O)c1ccc(cc1)CCCCCc1ccc(cc1)C(=O)O.CC(=O)OC(=O)C,294.35,163.71,252.2,1.17,20.1,101.9,334.0,346.0,1.56
185,OC(=O)c1ccc(cc1)CCCCc1ccc(cc1)C(=O)O.CC(=O)OC(=O)C,280.32,153.43,236.1,1.19,20.3,97.5,,321.0,1.57
186,OC(=O)CCCCCCCCC(=O)O.CC(=O)OC(=O)C,184.24,103.4,164.3,1.12,19.1,59.7,256.0,224.0,1.49
187,OC(=O)CCCCCCCC(=O)O.CC(=O)OC(=O)C,170.21,93.1,148.0,1.15,19.3,55.2,247.0,329.0,1.5
188,C1CC=CC1,68.12,48.95,75.0,0.9,16.8,21.3,183.0,132.0,1.52
189,CCCCOC(=O)/C=C/C(=O)OCCCC,228.29,133.0,205.0,1.12,18.7,71.5,242.0,343.0,1.48
193,CCCCCCOC(=O)C(=C)C#N,181.24,109.3,163.0,1.11,20.8,70.5,345.0,268.0,1.5
194,CCCCCCCCOC(=O)C(=C)C#N,209.29,129.8,195.5,1.07,20.1,79.0,308.0,321.0,1.49
195,C1C(O1)COC2=CC=C(C=C2)CC3=CC=C(C=C3)OCC4CO4,256.3,138.8,219.0,1.17,22.2,108.0,352.0,300.0,1.59
196,CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C.NCCCCCCN,456.6,264.9,416.5,1.1,21.4,191.0,387.0,606.0,1.56
197,CC(c1ccc(cc1)OCC1OC1)(c1ccc(cc1)OCC1OC1)C.NCCCCCCCCN,484.68,264.9,449.0,1.08,21.1,199.7,378.0,655.0,
198,OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,274.3,150.7,225.0,1.22,20.2,92.2,369.0,339.0,1.54
199,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,242.2,,182.5,1.33,21.6,85.3,389.0,273.0,1.6
200,OC(=O)c1ccccc1C(=O)O.OCCO,192.17,96.3,141.7,1.36,21.9,68.0,303.0,223.0,1.57
201,OC(=O)CCC(=O)O.OCCCCCCO,200.23,112.0,170.0,1.18,19.7,66.1,221.0,378.0,1.49
202,OC(=O)CCC(=O)O.OCCCO,158.15,81.6,122.0,1.3,20.8,52.9,245.0,286.0,1.49
203,CCCCOCC1CO1,130.19,75.9,129.0,1.01,18.0,41.9,201.0,274.0,1.47
